symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h
IDOLUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.02208,0.02208,-0.002493,636938,1405722.166,-3.58,0.02328,0.02206,12615787.48,42.08,36.28,33.4,32.06,35.75,44.18,1401820.19,0.278
AAVEUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,97.53,97.53,-4.3e-05,14091806,13759239.3784,1.41,99.29,95.18,12219790.2064,55.91,51.64,52.65,55.21,55.78,49.06,13284481.477200001,3.574
VIRTUALUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.6897,0.6897,9.9e-05,4952294,3417578.0894000004,-1.23,0.7083,0.6788,12140894.47,54.62,51.47,47.77,42.87,45.34,49.96,3460372.5706,-1.237
CUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.07611,0.07611,0.000827,3042788,2316170.2256,-3.05,0.07865,0.07438,11998126.5112,50.28,54.46,52.17,45.32,41.78,50.05,2316550.8255999996,-0.016
CHIPUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.07116,0.07116,-0.001107,1181070,8408037.33,-5.37,0.07932,0.0689,11910200.838,55.73,51.09,36.43,39.98,45.41,,8325656.262,0.989
XAGUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,73.43,73.43,0.000193,41310794,30346909.2724,-2.7199999999999998,76.14,72.72,11901848.3394,51.19,50.88,40.43,32.0,34.13,41.91,30538486.341,-0.627
ADAUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.24656,0.24656,-3.7e-05,16792491,41418679.0515,-0.61,0.24884,0.243,11787228.131,58.79,50.07,46.91,44.46,43.82,46.67,41212151.607,0.501
GIGGLEUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,35.19,35.19,9.7e-05,9040094,3183921.1068,5.76,36.77,32.33,11524478.847,64.01,53.84,45.45,52.28,52.19,53.26,3259658.8992,-2.323
CROSSUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.10312,0.10312,-0.000433,795389,822591.3038,-2.08,0.1101,0.09609,11474650.0878,67.51,67.14,72.04,53.57,44.92,58.64,829171.9184,-0.794
VELVETUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.11843,0.11843,0.00053,1350131,1596799.9337,1.59,0.1366,0.1119,11361030.992,55.35,62.95,58.04,52.93,63.1,69.71,1520435.3601,5.023
FILUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.92,0.92,-4.3e-05,104411082,9609995.987280002,-0.33999999999999997,0.9319,0.8989,10898505.10012,59.02,48.77,48.6,47.51,44.34,50.63,9611823.62556,-0.019
TACUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.01125,0.01125,0.000394,6803325,7729257.5325,22.64,0.011376,0.009081,10325514.0966,68.56,68.08,63.19,65.4,71.79,88.9,7794511.708199999,-0.837
